iter	Accuracy	Logloss
0	0.8097643098	0.5100703795
1	0.8265993266	0.4401238072	2	0.82996633	0.4149760014
3	0.8316498316	0.4001096332
4	0.8400673401	0.3922486875	5	0.8367003367	0.38833510566	0.8468013468	0.381990559677	0.8468013468	0.379825165588	0.8484848485	0.378184393599	0.8451178451	0.367279215
10	0.8417508418	0.3667763327
11	0.8468013468	0.3654968462
12	0.8434343434	0.3652731076
13	0.8468013468	0.3570940619
14	0.8501683502	0.3531226732
15	0.8501683502	0.3522688167
16	0.8501683502	0.3522415005
17	0.8518518519	0.3520622088
18	0.8535353535	0.3491324743
19	0.8569023569	0.3472125006
20	0.8569023569	0.3472110506
21	0.861952862	0.3379412628
22	0.8602693603	0.3244929688
23	0.8636363636	0.3209659095
24	0.8771043771	0.308055325
25	0.8838383838	0.3026859595
26	0.8872053872	0.3016642624
27	0.8855218855	0.2998846772
28	0.8855218855	0.2991299731
29	0.8855218855	0.298548049
30	0.8855218855	0.2973873341
31	0.8855218855	0.2961620067
32	0.8872053872	0.2926122737
33	0.8872053872	0.2921886292
34	0.8872053872	0.2884616285
35	0.8872053872	0.288451862
36	0.8888888889	0.2851171025
37	0.8905723906	0.2829240131
38	0.9006734007	0.2769477339
39	0.9006734007	0.2759743161
40	0.9023569024	0.2745827135
41	0.9023569024	0.2741132754
42	0.9074074074	0.2702504032
43	0.9141414141	0.2654766846
44	0.9124579125	0.261549305
45	0.9124579125	0.2609326889
46	0.9158249158	0.2523814678
47	0.9124579125	0.2507068721
48	0.9141414141	0.2502125444
49	0.9175084175	0.2430881593
50	0.9175084175	0.2418269002
51	0.9191919192	0.2405961252
52	0.9191919192	0.2398813945553	0.9208754209	0.2367616966554	0.9208754209	0.2363037905555	0.9208754209	0.23605825
56	0.9208754209	0.234041021
57	0.9208754209	0.2330436859
58	0.9208754209	0.2321311853
59	0.9225589226	0.2291941433
60	0.9225589226	0.2286121855
61	0.9225589226	0.2278143599
62	0.9225589226	0.2253957702
63	0.9259259259	0.2249633264
64	0.9259259259	0.2248712074
65	0.9276094276	0.2232037749
66	0.9276094276	0.2231340606667	0.9276094276	0.2230573588668	0.9276094276	0.2216201454669	0.9276094276	0.220834888770	0.9276094276	0.2208085838771	0.9276094276	0.2207314229772	0.9259259259	0.2185210367773	0.9276094276	0.2184120976774	0.9292929293	0.2177605899775	0.9292929293	0.217418315
76	0.9292929293	0.2170728306
77	0.9292929293	0.2169672341
78	0.9292929293	0.2168216765
79	0.9292929293	0.2162575044
80	0.9410774411	0.2104055871881	0.9410774411	0.2087434318882	0.9410774411	0.2087155569883	0.9410774411	0.2087071832884	0.9410774411	0.2086561292885	0.9410774411	0.2086268678686	0.9393939394	0.2078503658787	0.9377104377	0.2072725258888	0.9393939394	0.2060027548989	0.936026936	0.2055382481990	0.9393939394	0.2039249732991	0.9393939394	0.2032059999292	0.9393939394	0.2026140593	93	0.9393939394	0.2026061394	94	0.9377104377	0.202025395	095	0.9393939394	0.200848896	096	0.9410774411	0.199348197	097	0.9444444444	0.198389598	98	0.9444444444	0.1981798999	99	0.9444444444	0.1978730828
26361
